"","Course.Id","Title","Description","Credits","Learning.Goals","Distribution.Requirements","CO","CW","G","L","Q","A","FS","H","NS","SS","X3.3.4.3.Early.Assurance.Program.with.the.Drexel.University.Thomas.Kline.School.of.Law","X4.4.Admissions.Early.Interview.Program.with.the.New.York.Institute.of.Technology.College.of","Anthropology..B.A.","Anthropology..Environmental.Anthropology.Concentration..B.A.","Art.History..B.A.","Art..Studio.Art..B.A.","Biology..B.A.","Chemistry..B.A.","Communications..B.A.","Communications..B.A...Digital.Production.and.Cinema.Studies.Concentration","Communications..B.A...Journalism.and.Public.Relations.Concentration","Communications..B.A...Media.Studies.Concentration","Economics..B.A.","English..Creative.Writing.Track..B.A.","English..Literature.Track..B.A.","Environmental.Studies..B.A.","Fine.Arts..B.A.","French..B.A.","History..B.A.","Interdisciplinary.Studies..B.A.","International.Studies..Business.Track..B.A.","International.Studies..Political.Science.Track..B.A.","Latin.American.Studies..B.A.","Liberal.Studies..B.A.","Literature..B.A.","Mathematics..B.A.","Philosophy..B.A.","Physics..B.A.","Political.Science..B.A.","Psychology..B.A.","Social.Science..Psychology.and.Human.Service.Professions.Concentration..B.A.","Social.Science..Social.Cultural.Studies.Concentration..B.A.","Sociology..B.A.","Spanish..B.A.","X4.4.Early.Acceptance.Program..EAP..with.the.LECOM.School.of.Dental.Medicine","Dentistry..B.A..B.S..D.D.S...NYU.","General.Education...Core.Requirements","Law..B.A..B.S..J.D...Albany.","Medicine..B.A..B.S..D.O...Lake.Erie.College.of.Osteopathic.Medicine...LECOM.","Medicine..B.A..B.S..D.O...Philadelphia.College.of.Osteopathic.Medicine...PCOM..","Medicine..B.A..B.S..D.O...NEW.YORK.INSTITUTE.OF.TECHNOLOGY.COLLEGE.OF.OSTEOPATHIC.MEDICINE.NYITCOM.","Optometry..B.S..O.D...SUNY.College.of.Optometry.","Pre.Engineering..B.A..B.S..M.S...Columbia.","Scholar.Teacher.Education.Program..STEP...Teaching.English.to.Speakers.of.Other.Languages..TESOL..5.Year.B.A..M.A..or.B.S..M.A.","The.4.4.Collaborative.Affiliation.Agreement.with.the.Buffalo.School.of.Pharmacy.and.Pharmaceutical.Sciences","The.Scholar.Teacher.Education.Program..STEP...B.A..or.B.S.M.A.","Veterinary.Medicine..B.A..or.B.S..D.V.M...Ross.University.School.of.Veterinary.Medicine.","Accounting..B.B.A.","Management..B.B.A.","Management..Finance.Specialization..B.B.A.","Management..Human.Resource.Management.Specialization..B.B.A.","Management..Management.Information.Systems.Specialization..B.B.A.","Management..Marketing.Specialization..B.B.A.","Accounting.Five.Year.B.B.A..M.B.A.","Art.and.Design.Education..B.F.A.","Art.Education..Pre.K.12...B.F.A.","Art..Studio.Art..B.F.A.","Art..Studio.Art..Graphic.Design.Concentration..B.F.A.","Dance..B.F.A.","Theatre.Arts..Acting..B.F.A.","Theatre.Arts..Design.Technology..B.F.A.","Accelerated.Nursing.Program..leading.to.the.B.S..in.Nursing","Biochemistry..B.S.","Biology..B.S.","Business..B.S...through.College.of.Professional.and.Continuing.Studies.","Chemistry..B.S.","Communication.Sciences.and.Disorders..B.S.","Computer.and.Management.Information.Systems..B.S.","Computer.and.Management.Information.Systems..Game.Development.Concentration..B.S.","Computer.and.Management.Information.Systems..Information.Security.Concentration..B.S.","Computer.Science.B.S.","Criminal.Justice..B.S.","Emergency.Services.Administration..B.S.","Exercise.Science..B.S.","Finance..B.S.","Interdisciplinary.Studies..B.S.","Marketing..B.S.","Mathematics..B.S.","Music.Education..B.S.","Music..B.S.","Music..Composition.Concentration..B.S.","Music..Vocal.Performance.Concentration..B.S.","Natural.Sciences..B.S.","Neuroscience..B.S....Cognitive.Neuroscience.Concentration","Neuroscience..B.S....Molecular.Neuroscience.Concentration","Nursing..B.S.","Nursing..R.N..to.B.S.","Physical.Activity.Studies..B.S.","Physical.Education.and.Health.Education..B.S.","Physical.Education..Teaching..B.S.","Physical.Therapy..B.S..D.P.T...New.York.Institute.of.Technology.","Physical.Therapy..B.S..D.P.T...New.York.Medical.College.","Physics..B.S.","Podiatry..B.S..D.P.M..New.York.College.of.Podiatric.Medicine...NYCPM..","Sport.Management..B.S.","ANSWER.Program.Leading.to.Bachelor.of.Social.Work..B.S.W.","Social.Work..B.S.W.","Social.Work..Child.and.Family.Studies.Concentration..B.S.W."
"440","0104-479","Advanced Fibre Sculpture",,"4","","A",0,0,0,0,0,1,0,0,0,0,2,1,5,2,3,2,5,1,1,1,3,3,1,3,1,2,1,5,1,1,2,2,4,4,3,3,1,2,2,3,1,3,2,3,1,3,2,1,2,5,1,4,2,2,1,3,5,4,4,4,1,5,2,1,1,2,4,2,5,4,3,3,3,1,4,4,1,2,1,2,4,5,5,4,1,1,4,1,3,3,5,3,3,4,1,4,4,2,5,3,4,4,1,5,1,1,2,3
"441","0104-491","Independent Study 
For Art Majors OnlyIndependent Study/Internship form required.",,"2.00 - 3.00","","A",0,0,0,0,0,1,0,0,0,0,4,3,1,4,4,2,1,3,1,3,3,3,5,1,2,5,4,4,5,1,3,2,5,5,1,3,3,1,5,2,2,1,2,3,3,4,3,5,4,5,3,2,5,3,5,5,2,1,5,3,1,5,1,3,3,2,3,3,3,2,1,5,3,3,2,1,5,5,5,3,1,4,3,4,4,3,2,2,4,4,2,2,4,2,1,3,5,2,5,1,4,1,4,2,1,1,5,1
"442","0104-499","Senior Portfolio in Fine Art
Required capstone course for BA candidates in Studio Art or Art Education Capstone Course",,"3","","A",0,0,0,0,0,1,0,0,0,0,2,4,4,1,5,2,3,3,5,3,3,4,3,1,4,5,1,4,1,3,1,3,4,4,5,3,5,3,2,3,1,4,2,3,3,1,3,1,1,3,2,1,5,1,1,3,2,1,4,5,1,1,4,1,5,4,3,4,5,3,1,5,3,1,4,4,1,3,1,4,2,2,1,5,5,5,5,2,5,1,2,3,5,4,5,2,5,4,2,3,5,4,1,1,3,2,1,1
"443","0104-563","Philosophy & Criticism",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,1,5,2,4,3,3,5,3,4,1,1,5,3,4,3,3,3,3,5,1,1,1,2,1,4,4,1,4,2,5,5,2,3,4,5,3,4,3,1,1,2,1,4,3,5,5,1,4,1,1,4,4,1,4,1,1,3,4,5,1,4,2,5,4,5,2,4,1,2,3,2,2,1,1,4,2,1,1,3,4,5,4,4,3,2,5,5,5,3,3,2,5,4,5,3,4,2
"444","0104-709","Printmaking Studio",,"3","","A",0,0,0,0,0,1,0,0,0,0,2,3,5,5,5,1,5,4,5,4,5,2,2,2,4,5,1,1,3,2,3,4,4,5,1,2,3,3,4,3,5,5,5,5,2,1,2,4,5,1,1,4,3,3,5,1,2,5,2,5,4,1,3,1,4,3,2,5,1,3,4,3,1,1,4,3,3,4,2,5,2,5,5,4,2,3,4,4,4,2,1,1,2,4,4,4,5,2,4,3,3,4,3,4,4,4,2,1
"445","0104-711","Sculpture Studio",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,3,3,5,5,2,2,3,1,1,2,5,2,4,4,3,5,2,4,1,4,3,1,4,2,2,5,3,5,1,1,3,3,2,4,4,4,5,4,5,5,3,2,4,2,3,4,3,2,5,1,1,5,1,4,1,1,3,1,2,4,3,3,3,5,1,3,5,1,1,5,4,4,5,1,5,4,3,2,4,4,3,3,3,3,1,4,2,2,1,2,1,1,2,3,4,5,5
"446","0104-713","Painting Studio",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,5,4,5,4,2,2,3,1,3,1,1,1,5,2,1,4,5,3,3,1,1,5,5,2,3,1,3,3,4,2,4,2,4,3,2,2,3,3,4,4,2,3,5,2,2,3,3,1,2,5,1,5,4,1,3,4,2,5,2,2,4,1,1,4,2,5,4,5,4,5,2,3,1,1,4,2,5,2,1,4,2,4,3,4,3,3,2,3,3,1,2,3,3,4,1,4,4
"447","0108-104","Art of Film and Video",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,3,5,2,1,1,1,5,4,5,3,1,1,3,5,1,4,2,4,5,5,1,3,3,2,2,3,4,5,2,5,4,3,5,3,1,3,3,2,1,1,2,5,4,3,2,1,2,3,1,4,2,5,5,2,2,5,5,5,1,5,4,2,1,2,3,4,5,2,5,1,1,5,1,5,1,3,1,3,5,2,2,4,4,2,5,5,3,3,1,3,3,5,2,2,2,4,4
"448","0108-131","History of Cinema I",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,3,4,4,3,5,4,4,3,5,5,4,2,3,4,3,4,1,3,4,1,4,1,4,2,4,2,5,3,4,2,5,1,5,3,5,4,1,2,1,1,1,3,3,1,1,4,5,2,1,5,5,3,2,5,4,2,3,3,1,3,4,4,1,3,5,5,5,3,4,5,2,4,3,1,5,1,3,3,5,3,3,3,5,3,3,3,2,2,5,4,5,1,2
"449","0108-225","Basic Media Production",,"3","","A",0,0,0,0,0,1,0,0,0,0,2,4,4,3,4,1,1,3,2,3,1,3,3,4,3,5,5,4,1,5,1,3,5,3,1,3,5,3,3,2,1,3,1,1,2,5,4,5,2,2,4,3,2,1,5,2,2,4,3,4,3,2,2,4,4,2,4,5,4,4,4,3,4,1,1,1,1,1,4,2,3,5,5,3,4,4,3,1,1,2,4,5,5,1,2,4,2,1,1,2,2,2,4,5,1,3,1,3
"450","0108-251","The New Cinema:Original Series",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,3,2,5,4,5,2,2,3,1,1,1,3,5,2,3,1,2,4,5,5,2,4,3,3,4,4,5,1,4,4,1,1,2,5,3,3,1,4,5,5,3,1,1,5,5,5,2,1,1,1,1,2,2,1,3,5,5,5,3,5,5,5,4,5,4,1,5,1,1,2,1,2,4,4,3,3,1,5,2,4,4,5,5,4,2,2,1,5,3,3,3,5,5,3,2,4,1
"451","0108-260","From Disney to Burton and Beyond: the History of Animation
Cross-Listed with 0111-260",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,5,4,3,5,1,1,4,5,1,2,4,5,3,3,1,3,1,5,1,4,2,2,1,1,1,4,5,1,1,2,5,1,4,5,5,4,3,1,2,1,4,2,3,3,4,2,5,3,2,4,5,4,2,1,1,2,3,5,1,3,4,2,1,5,5,2,4,1,3,3,4,4,2,2,4,5,5,3,3,4,3,5,5,1,1,4,3,5,2,3,3,1,2
"452","0108-262","Writing the Feature Screenplay",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,3,4,1,2,2,3,1,1,5,1,1,2,3,3,4,1,4,2,4,5,2,1,3,2,2,4,5,1,5,2,5,3,3,3,2,4,2,1,4,4,3,2,1,5,2,2,3,4,2,2,5,2,5,2,1,5,3,1,2,2,4,2,1,5,3,3,3,2,4,2,2,2,2,4,2,5,2,2,5,1,4,4,1,1,4,2,2,2,2,4,5,1,5,1,3,3,2
"453","0108-304","Post Production",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,1,2,4,1,5,5,1,1,4,5,3,3,1,3,1,1,1,1,4,3,5,3,5,5,2,3,1,1,5,5,1,5,4,3,4,3,5,5,2,1,2,4,3,4,4,2,4,4,3,4,5,3,3,4,5,2,5,4,4,5,2,4,1,2,2,4,2,5,3,3,2,3,2,4,2,1,3,5,1,3,3,3,2,4,5,2,4,1,4,2,1,1,4,1,4,5,1
"454","0108-330","Video I 

(limited seats for non-majors)",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,2,5,2,5,2,3,3,3,2,5,3,4,2,5,2,5,4,1,3,4,2,2,4,3,2,4,3,3,3,3,5,2,4,5,2,1,4,2,3,5,5,3,2,3,4,1,4,2,1,2,1,3,2,2,2,4,4,3,4,3,3,4,5,2,1,3,3,3,4,4,3,3,5,1,3,5,3,2,2,4,5,3,5,2,3,5,3,4,4,2,1,3,4,1,3,1,1
"455","0111-249","Art of The Italian Renaissance",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,4,3,3,3,2,4,2,5,4,3,4,4,2,2,3,5,2,4,5,4,5,4,5,1,1,2,5,3,5,3,1,5,1,3,2,1,1,1,1,4,4,1,2,5,3,4,3,5,3,5,3,4,4,4,1,1,4,1,1,4,1,3,1,4,1,5,5,4,5,5,5,2,5,4,5,3,1,1,3,3,3,2,5,2,5,5,3,5,1,5,2,5,2,2,2,1,4
"456","0111-252","Modern Art 

For majors and non-majors",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,2,5,3,2,2,5,2,5,4,2,5,1,5,5,4,4,3,1,1,3,5,4,1,1,5,5,4,5,4,1,3,3,3,2,4,4,4,2,1,3,3,1,2,3,1,3,4,2,1,5,1,4,1,2,4,5,1,4,2,3,1,1,1,5,5,2,2,2,2,4,2,4,2,2,3,1,2,1,4,2,3,3,1,1,2,5,3,4,5,2,5,4,2,4,4,2,2
"457","0111-253","Contemporary Art 
Majors Only; Non-Majors may Register with Departmental Approval",,"3","","A",0,0,0,0,0,1,0,0,0,0,2,2,5,3,3,4,4,1,5,3,1,5,2,1,2,4,2,5,5,5,4,2,1,2,1,4,3,5,4,3,5,4,5,3,4,4,1,4,5,1,4,4,5,1,4,4,3,3,4,2,3,2,2,1,3,4,4,1,3,3,1,2,3,1,1,5,1,3,3,4,5,1,1,4,3,3,3,4,2,5,4,1,2,3,4,5,2,1,1,1,3,1,5,1,4,4,5,4
"458","0111-260","From Disney to Burton and Beyond: the History of Animation
Cross-Listed with 0108-260",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,3,1,2,2,2,1,5,4,2,4,2,3,2,2,5,2,3,2,5,4,3,3,2,1,5,3,2,3,1,5,3,5,3,3,5,3,1,5,4,5,5,2,1,5,2,1,3,3,1,3,4,3,2,2,1,3,2,2,5,4,4,1,5,1,4,1,5,3,1,4,2,3,1,2,3,4,1,5,4,2,2,2,5,2,2,1,3,4,3,5,1,5,1,3,2,5,2
"459","0111-266","History of Photography",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,2,3,3,1,5,5,2,3,5,4,2,3,5,2,4,1,4,1,2,1,4,2,3,3,1,1,2,3,1,1,4,3,3,4,5,2,5,1,5,1,4,4,4,4,5,3,1,3,3,5,1,1,4,2,4,5,4,4,3,2,3,4,2,5,4,3,4,3,2,5,1,4,2,4,5,5,2,3,3,2,1,4,3,4,1,1,3,3,4,2,5,3,2,5,5,2,2
"460","0111-270","Adelphi in Florence: Experiencing The Italian Renaissance
Cross-listed with English 0122-270",,"3","","A",0,0,0,0,0,1,0,0,0,0,4,5,3,5,5,4,4,4,5,4,5,2,2,4,3,5,2,2,2,5,1,3,2,4,1,5,3,5,1,2,5,5,5,5,1,1,5,4,1,5,3,5,5,2,1,3,5,2,1,2,4,1,3,5,3,2,5,3,5,2,3,4,5,1,5,4,3,5,3,2,4,5,2,4,5,4,1,5,4,2,1,1,5,3,1,3,2,1,5,5,5,3,2,3,4,5,3,5
"461","0111-360","Special Topics in Art",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,3,3,1,1,1,1,4,4,1,5,1,5,4,2,5,2,3,4,4,2,1,1,3,4,4,3,3,1,1,5,2,2,2,2,2,5,4,3,5,2,1,5,4,2,1,2,2,5,2,5,3,5,4,4,1,1,4,3,5,5,1,4,5,2,4,5,3,1,2,4,5,2,2,2,1,1,4,4,5,5,5,4,3,2,2,3,5,4,4,3,5,5,5,1,1,4,5
"462","0111-649","Art of The Italian Renaissance",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,4,5,2,4,3,4,4,4,3,4,4,3,3,4,4,1,3,3,4,1,1,2,3,2,5,2,2,1,4,5,1,4,4,3,4,2,5,4,2,3,2,4,5,2,1,5,4,4,4,4,5,5,1,2,1,4,4,2,2,2,5,1,3,2,5,2,3,3,5,4,2,4,5,4,5,2,2,1,3,1,1,2,5,3,3,3,2,2,1,4,5,1,1
"463","0122-109","Introduction to Creative Writing",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,2,1,2,2,3,5,4,2,5,4,2,1,3,4,1,3,3,2,3,5,2,1,1,2,4,3,4,2,2,3,2,3,1,5,3,4,1,1,1,1,5,4,2,5,5,3,2,4,3,4,4,1,3,5,4,2,5,5,4,5,2,4,1,3,1,1,3,5,1,5,5,4,2,4,4,1,3,2,3,2,2,2,3,2,2,3,3,2,3,2,2,1,3,5,2,5,1
"464","0122-270","Adelphi in Florence: Experiencing the Italian Renaissance",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,1,3,3,4,2,2,5,5,2,3,3,3,3,5,4,3,3,5,1,4,1,2,2,3,2,3,1,5,2,4,2,1,5,4,2,2,3,2,2,1,2,3,5,3,3,3,5,2,3,2,1,2,3,4,4,4,3,4,1,4,3,4,2,3,4,4,1,2,5,1,1,4,1,5,3,2,2,1,3,5,4,1,4,1,2,4,5,5,4,2,2,1,4,1,5,1,3
"465","0122-312","Writing Fiction
Course can be repeated wih different instructor",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,4,1,3,2,4,5,2,1,4,3,3,2,1,5,2,2,2,2,4,5,1,4,1,4,2,1,2,1,4,3,3,2,3,2,5,4,4,4,2,4,4,4,3,3,5,5,1,5,5,3,1,5,2,4,1,3,3,4,2,4,1,5,4,3,1,4,4,5,3,2,4,5,2,1,3,2,4,2,3,4,5,1,2,1,5,1,2,5,3,1,1,5,4,2,1,4,1
"466","0122-313","Writing Poetry
Can be repeated with different Instructor",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,3,3,1,3,5,4,4,4,4,1,4,4,2,1,3,5,2,1,2,5,5,5,4,2,3,3,5,4,4,2,1,2,1,1,4,4,2,5,3,1,3,1,3,2,3,2,1,2,4,1,3,1,3,2,1,4,5,4,5,3,2,4,2,2,4,4,3,3,3,2,4,5,3,1,4,3,5,5,2,1,3,4,3,3,2,5,5,5,5,2,2,5,5,1,4,4,5
"467","0122-314","Forms in Poetry 
Course may be repeated with different instructors",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,1,2,4,5,1,1,2,4,5,1,1,4,3,5,2,1,1,1,1,5,5,5,4,5,1,5,1,4,1,3,5,2,3,4,5,2,4,5,1,3,1,4,2,3,3,5,4,5,2,5,3,3,5,2,4,2,3,5,4,2,3,3,1,4,2,3,2,4,3,1,2,5,4,4,2,5,1,4,5,2,3,4,3,5,3,3,3,4,2,1,3,4,4,2,5,5,4
"468","0122-315","Creative Non-Fiction
Can can be repeated with different instructor",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,4,2,2,5,3,4,3,1,5,2,2,1,5,2,2,5,4,2,1,4,3,2,3,5,5,3,5,3,2,2,3,4,3,2,2,5,3,3,5,3,4,1,3,2,1,4,4,2,5,1,5,4,4,3,1,3,3,3,1,4,3,3,1,2,3,5,4,5,3,1,1,2,2,5,5,5,3,4,4,4,4,3,3,3,1,1,3,5,1,5,4,2,3,1,3,3,1
"469","0122-316","Writing Plays
Can be repeated with different instructor",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,4,2,2,4,1,3,2,4,5,3,3,4,2,5,2,5,2,3,4,5,2,4,2,3,4,1,4,1,1,1,1,1,4,4,5,4,1,3,2,3,1,5,3,2,3,2,3,4,2,1,2,1,3,5,3,2,4,3,1,4,5,2,5,2,2,2,2,4,5,1,5,2,2,3,1,2,2,3,2,3,5,2,3,5,3,3,2,4,1,2,3,3,2,1,2,5,4
"470","0122-317","Writing Lyrics For Musical Theatre

For majors and non-majors",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,2,5,1,1,1,5,5,3,3,5,4,5,2,3,1,2,2,3,1,3,2,5,1,1,3,1,3,2,5,5,1,3,1,5,4,5,3,1,1,3,4,2,2,1,1,1,3,4,3,3,1,2,1,2,4,4,1,2,1,1,5,1,1,4,5,5,1,4,5,1,2,4,1,2,1,2,1,2,3,3,5,4,1,4,1,3,4,1,4,2,1,5,2,3,5,2,5
"471","0122-412","Advanced Fiction
Course may be repeated with different instructor Senior Majors Only For majors only",,"3","","A",0,0,0,0,0,1,0,0,0,0,1,3,5,5,4,4,4,5,2,3,5,5,1,3,5,5,1,3,2,1,5,2,4,1,5,1,2,4,4,1,3,4,2,1,2,2,5,3,2,5,2,5,2,3,1,1,3,5,1,5,2,1,3,1,5,1,3,5,2,3,3,1,4,3,1,3,3,1,5,4,4,3,3,3,1,4,3,3,1,4,2,1,4,1,4,3,1,5,3,4,5,4,2,5,2,4,5,1
"472","0122-413","Advanced Poetry
Course may be repeated with different instructor Senior Majors Only For majors only",,"3","","A",0,0,0,0,0,1,0,0,0,0,5,5,1,1,5,5,1,2,1,5,3,1,3,4,4,1,1,1,2,2,1,3,5,1,2,4,1,5,2,5,5,4,4,3,1,3,4,2,2,2,5,2,5,3,4,3,4,2,5,2,1,2,2,2,3,4,4,5,5,1,3,1,4,2,2,4,4,3,4,3,2,3,2,5,2,5,1,3,3,2,5,2,5,4,3,3,3,2,1,4,4,5,4,5,3,4,3,4
"473","0122-416","Advanced Playwriting
Course may be repeated with different instructor Open to Senior English majors only",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,2,5,3,4,3,2,2,5,4,3,2,2,4,3,1,3,5,5,4,5,5,5,2,4,3,1,2,5,4,4,4,2,1,3,5,1,4,5,1,1,2,5,4,4,2,2,5,1,5,4,2,2,3,2,3,4,2,3,5,2,3,3,5,4,1,5,3,3,5,3,5,5,3,2,1,3,2,1,2,4,4,1,1,4,3,1,4,3,4,5,5,1,4,4,1,4,5
"474","0122-417","Writing For Musical Theatre ( Book & Lyrics )

For majors and non-majors",,"3","","A",0,0,0,0,0,1,0,0,0,0,3,2,5,4,2,3,1,4,5,4,4,3,3,3,4,3,4,2,5,1,3,3,2,3,3,2,1,1,4,3,5,1,1,3,5,3,5,1,3,2,1,4,5,2,4,2,3,1,5,2,5,2,5,1,4,2,4,1,2,2,5,5,4,2,1,1,2,2,4,5,1,5,5,3,5,2,4,3,1,4,1,4,4,4,4,1,2,2,4,1,2,2,3,1,5,1,1,5
"475","0122-457","Special Topics in Creative Writing
Course may be repeated with different instuctor. Senior Majors Only For majors only",,"3","","A",0,0,0,0,0,1,0,0,0,0,2,3,1,1,4,1,5,2,1,2,4,4,5,3,1,4,1,3,2,1,5,1,5,3,4,4,5,1,5,5,3,4,4,4,4,3,3,1,2,4,2,4,4,1,3,1,3,4,5,4,3,1,5,5,3,3,3,1,2,3,1,1,4,5,5,5,1,4,5,5,3,3,4,2,1,4,1,1,1,1,5,5,1,1,2,5,5,5,1,2,1,4,1,3,5,3,3,4
"476","0191-110","Ballet I 

For majors only",,"2","","A",0,0,0,0,0,1,0,0,0,0,3,2,3,3,5,5,1,3,3,3,1,4,5,5,4,3,5,3,3,2,5,5,3,5,3,4,1,2,3,2,5,1,3,2,2,3,3,5,2,5,4,1,1,3,2,5,5,3,1,2,5,5,2,2,5,2,3,4,2,4,2,2,4,2,4,3,3,1,4,2,4,5,4,4,4,2,3,5,1,4,4,2,2,5,4,3,1,1,3,5,4,2,4,5,1,5,4,1
"477","0191-111","Ballet II",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,5,2,3,4,2,4,3,1,2,2,5,4,1,5,1,3,3,3,2,5,4,1,4,1,2,5,1,3,3,5,4,3,5,2,3,3,2,5,3,4,2,5,5,1,2,4,1,5,5,1,1,5,3,5,3,4,5,2,1,2,2,5,2,1,2,1,1,5,3,1,1,4,3,1,3,4,1,3,2,2,2,1,5,1,1,5,4,5,2,3,5,1,1,4,4,1,2
"478","0191-113","Ballet for Non-Majors I

For non-majors only.",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,1,3,5,1,1,5,1,2,1,2,5,3,2,2,5,1,2,2,3,2,3,5,2,4,2,5,1,4,2,5,3,5,2,4,5,1,2,3,1,1,1,1,2,3,4,2,3,1,4,1,2,5,5,2,5,1,5,1,5,4,3,2,5,2,1,5,4,5,1,3,2,1,2,3,3,5,4,2,4,3,2,5,5,1,2,5,3,5,3,2,4,1,1,1,2,2,2
"479","0191-114","Ballet For Non-Majors Two",,"2","","A",0,0,0,0,0,1,0,0,0,0,4,5,5,5,5,5,1,5,3,2,5,2,1,2,1,3,3,3,3,5,1,4,4,3,1,4,4,2,3,4,5,5,2,5,2,2,5,1,5,2,2,2,3,1,4,5,2,5,3,1,5,3,1,3,5,3,3,4,1,2,5,5,2,2,4,2,2,2,3,3,2,2,2,2,5,1,1,5,5,2,3,4,5,5,3,2,3,5,3,5,1,4,2,3,2,4,5,5
"480","0191-125","Modern Dance I 

For majors only",,"2","","A",0,0,0,0,0,1,0,0,0,0,3,1,5,4,1,2,4,5,4,5,3,1,1,2,4,4,5,2,2,3,5,2,5,2,3,2,5,4,1,5,5,3,5,1,4,1,4,2,3,2,2,5,4,3,4,4,3,4,1,3,4,3,4,5,3,4,4,5,1,1,3,2,5,3,4,4,4,3,3,1,1,1,1,1,4,2,5,3,2,1,5,4,4,5,5,5,1,5,5,5,4,2,2,3,5,3,1,1
"481","0191-126","Modern Dance II",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,4,2,3,5,5,5,3,3,5,5,1,2,1,1,1,5,3,2,4,3,2,2,2,1,3,3,3,5,1,3,4,5,4,2,2,3,1,2,5,5,1,5,4,3,1,2,3,2,2,5,4,5,2,4,4,2,3,5,1,4,5,3,2,5,4,1,5,2,2,5,3,5,4,3,3,2,4,4,5,2,2,4,4,5,2,3,1,1,1,1,4,4,1,5,2,5,5
"482","0191-127","Modern Dance For Non-Majors 1

For non-majors only.",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,5,3,2,1,2,2,5,2,2,5,1,4,1,2,4,3,5,3,2,4,4,1,5,3,3,2,5,5,2,3,1,4,5,2,4,1,2,4,5,5,4,2,2,4,2,3,1,1,2,2,4,1,5,5,5,4,3,3,5,5,2,4,4,4,2,2,3,3,3,4,4,1,5,4,2,1,4,4,3,2,1,5,1,4,4,2,3,4,4,3,1,4,5,1,2,5,2
"483","0191-128","Modern Dance For Non-Majors 2",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,1,5,2,2,1,4,2,3,2,5,5,4,1,3,1,2,4,4,5,2,5,2,2,5,1,2,4,2,1,3,2,5,4,4,1,4,2,4,4,4,5,1,2,2,3,5,5,5,3,5,5,1,5,4,1,5,3,2,5,3,3,5,3,3,3,2,4,5,3,4,2,2,2,5,2,5,5,5,4,3,4,2,3,5,5,4,2,3,2,4,2,3,3,5,2,4,3
"484","0191-211","Ballet IV",,"2","","A",0,0,0,0,0,1,0,0,0,0,1,4,3,5,2,3,2,2,3,4,5,5,5,5,5,1,5,2,5,1,4,2,5,1,1,4,4,5,5,2,3,4,3,4,1,4,2,4,4,1,1,4,5,2,1,1,2,3,3,1,2,5,3,5,5,5,4,4,3,4,1,4,5,1,3,5,2,3,2,2,1,3,3,5,1,1,4,3,5,1,5,4,3,4,3,5,3,2,5,4,5,2,1,1,1,1,4,1
"485","0191-226","Modern Dance IV",,"2","","A",0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,5,5,2,1,1,5,2,3,4,4,1,3,5,5,1,1,5,1,5,4,4,5,5,2,2,3,1,4,3,5,1,1,1,2,2,2,1,5,5,4,5,4,5,2,3,5,2,4,4,3,3,1,3,4,3,3,3,3,2,4,2,1,2,3,2,4,5,2,1,5,4,5,3,3,3,5,5,3,1,5,5,5,3,3,4,3,1,1,4,3,1,2,2
"486","0191-311","Ballet V I",,"2","","A",0,0,0,0,0,1,0,0,0,0,5,4,3,2,4,2,1,2,2,3,1,5,5,4,3,2,2,2,2,2,1,1,2,1,2,4,3,3,4,3,4,3,3,5,4,2,2,4,2,4,5,2,3,1,1,5,2,3,4,2,3,5,3,2,3,2,3,4,3,4,2,2,1,1,4,1,3,5,5,4,3,1,4,4,2,4,5,5,1,5,4,5,5,3,4,4,5,4,5,5,2,2,4,1,5,5,1,3
